"comments","enjoyment","age","gender","education","language","fairprice","workerid","asses","speaker_cond"
"",2,34,"Male",3,"english",1,0,"Yes","exp01"
"",2,25,"Male",3,"english",0,1,"Yes","exp01"
"",1,39,"Male",2,"english",0,2,"Yes","exp01"
"It was fun",2,27,"Male",2,"English",1,3,"Yes","exp01"
"",1,34,"Male",2,"english",1,4,"Yes","exp01"
"I hope I answered correctly I tried my best. There was a lot of ums and ahs in some of the questions which made it difficult to answer. I also hope that I understood your criteria for deciding whether the person knew if it was true or not. Also what was with the part in the trials deciding if the blue statement was true or false and then that not continuing to the actual questions and we have to decide if the person knew the statement was true or not only.",1,32,"Male",1,"english",1,5,"Confused","exp01"
"thanks",1,34,"Male",4,"english",1,6,"Yes","exp01"
"It was fine. I'm curious about the reason for the heavy hesitations in the sentences and why these were used. ",1,50,"Male",1,"English",1,7,"Yes","exp01"
"",1,25,"Male",3,"English",1,8,"Confused","exp01"
"",0,25,"Male",3,"Vietnamese",0,9,"Yes","exp01"
"",1,29,"Male",2,"English",1,10,"Yes","exp01"
"Have a nice day",1,28,"Male",1,"English",1,11,"Yes","exp01"
"Underpaid, and some of the sentences were confusing so I wasn't sure how to adjust the slider",1,31,"Male",3,"English",0,12,"Yes","exp01"
"somewhat challenging",1,51,"Male",2,"English",1,13,"Yes","exp01"
"all of the stammering made it a little difficult",1,61,"Female",1,"english",1,14,"Yes","exp01"
"thanks for this oppportunity",2,30,"Male",3,"english",1,15,"Yes","exp01"
"",1,39,"Female",2,"english",1,16,"Yes","exp01"
"",1,35,"Female",4,"English language",1,17,"Yes","exp01"
"",1,23,"Male",3,"English",0,18,"Yes","exp01"
"nil",1,34,"Female",3,"English",1,19,"Yes","exp01"
"This is very confusing, please try to explain it in a different sense. Please email me",1,22,"Male",1,"English",0,20,"Confused","exp01"
"The language in the conversations was extremely confusing and frustrating. They appear to have been written with predictive text only.",1,31,"Male",3,"English",1,21,"Yes","exp01"
"",1,25,"Female",3,"English",1,22,"Confused","exp01"
"Good Work",2,25,"Male",3,"English",1,23,"Yes","exp01"
"",1,27,"Female",2,"English",1,24,"Yes","exp01"
"Nice Task and thanks for the Opportunity",2,28,"Female",4,"English",1,25,"Yes","exp02"
"",1,41,"Female",3,"english",1,26,"Yes","exp02"
"nothing..",1,28,"Male",3,"english",0,27,"Yes","exp02"
"It was a nice and high paying survey, thanks for the hit, hopefully I helped you in your research!",2,31,"Male",3,"English",1,28,"Yes","exp02"
"I tried and felt like I understood the examples correctly and then moved on and felt more and more unsure of what was wanted in the task",1,34,"Male",3,"English",0,29,"Confused","exp02"
"",2,66,"Male",4,"English",0,30,"Yes","exp02"
"",1,28,"Male",3,"chinese",0,31,"Yes","exp02"
"This survey is very interesting.",2,37,"Female",3,"English",0,32,"No","exp02"
"Very interesting material!",1,24,"Male",2,"English",1,33,"Yes","exp02"
"",1,31,"Male",2,"English",1,34,"Yes","exp02"
"",2,18,"Male",1,"English",1,35,"Yes","exp02"
"no comments",0,50,"Female",3,"English",1,36,"Confused","exp02"
"It was hard to understand at first, so the examples were helpful/necessary. Underpaid for the amount of effort. ",2,65,"Female",2,"English",0,37,"Yes","exp02"
"It was simply perform well.",1,28,"Male",3,"English",1,38,"Yes","exp02"
"Unique study",1,28,"Female",3,"English",1,39,"Yes","exp02"
"i am very like that..",2,30,"",3,"english",1,40,"","exp02"
"",-1,42,"Female",3,"english",-1,41,"Yes","exp02"
"I did my best and hope that everything was satisfactory. The HIT was fun and interesting.",2,27,"Male",3,"english",1,42,"Yes","exp02"
"",1,25,"Male",3,"ENGLISH",1,43,"Yes","exp02"
"none",2,36,"Female",3,"ENGLISH",1,44,"Yes","exp02"
"it was ok, but kind of confusing",2,63,"Male",3,"english",1,45,"Confused","exp02"
"great experiment ",2,27,"Male",1,"english",1,46,"Yes","exp02"
"",2,23,"Female",3,"English",1,47,"Yes","exp02"
"any",2,26,"Male",3,"english",1,48,"Yes","exp02"
"I thought it was very interesting. Definitely not like most of the HITs I do.",2,46,"Female",3,"English",1,49,"Yes","exp02"
"",2,35,"Female",3,"English",1,50,"Yes","exp03"
"",1,30,"Female",3,"english",1,51,"Yes","exp03"
"",2,27,"Male",3,"English",1,52,"Yes","exp03"
"",0,31,"Male",2,"english",1,53,"Yes","exp03"
"Thanks!",1,35,"Male",3,"english",1,54,"Yes","exp03"
"",1,27,"Male",1,"english",1,55,"No","exp03"
"Nice study ",2,33,"Male",3,"English",0,56,"Yes","exp03"
"",2,41,"Male",3,"English",1,57,"Yes","exp03"
"I do not have any comments.",1,59,"Female",4,"English",1,58,"Yes","exp03"
"good",2,37,"Female",3,"ENGLISH",1,59,"Yes","exp03"
"",2,29,"Male",2,"English",1,60,"Yes","exp03"
"it was great survey",2,30,"Male",3,"English",1,61,"Yes","exp03"
"",1,33,"Female",3,"English",0,62,"Yes","exp03"
"good",2,43,"Male",3,"english",1,63,"Yes","exp03"
"",1,31,"Male",3,"English",1,64,"Yes","exp03"
"thanks",2,53,"Female",1,"English",1,65,"Yes","exp03"
"",1,36,"Male",3,"english",1,66,"Confused","exp03"
"Good work",2,25,"Male",3,"English",1,67,"Yes","exp03"
"",2,40,"Male",4,"English ",1,68,"Yes","exp03"
"",2,47,"Female",2,"english",1,69,"Yes","exp03"
"",1,25,"Male",3,"English",1,70,"Yes","exp03"
"I really enjoyed this HIT. I had to look over a few of these and spend some real time with them because there were confusing parts with the transcription.",2,28,"Male",4,"English",1,71,"Yes","exp03"
"No comments",2,27,"Male",1,"English",1,72,"Yes","exp03"
"",1,49,"Female",1,"English",0,73,"Yes","exp03"
"none",1,25,"Male",3,"english",1,74,"Yes","exp03"
"good",1,28,"Male",3,"english",1,75,"","exp04"
"GOOD",0,30,"Male",3,"ENGLISH",0,76,"Yes","exp04"
"",2,32,"Male",2,"English",1,77,"Yes","exp04"
"The examples confused me and by the time i got to the end they almost always made sense so I had to think a bit.",2,27,"Male",3,"English",1,78,"Confused","exp04"
"None",2,34,"Female",3,"United States",1,79,"Yes","exp04"
"",1,34,"Male",4,"English",1,80,"Yes","exp04"
"I hope I did this correctly! I have a degree in Education and lots of experience teaching college students English, composition, and well as geometry and other subjects. I feel that I have an excellent command of the English language, so I do hope I understood the directions properly!",2,57,"Female",3,"English",1,81,"Yes","exp04"
"",1,44,"Female",2,"English",1,82,"Yes","exp04"
"Good work",2,25,"Male",3,"",1,83,"Yes","exp04"
"",2,35,"Female",2,"English",1,84,"Yes","exp04"
"",1,36,"Female",2,"English",1,85,"Confused","exp04"
"I was a little confused about this task and found it somewhat frustrating and difficult.",0,29,"Male",3,"English",0,86,"Yes","exp04"
"It was a little confusing, but did the best I could. ",1,34,"Female",1,"English",1,87,"Yes","exp04"
"Nil",2,28,"Male",3,"English",1,88,"Yes","exp04"
"really superb",2,24,"Female",3,"english",1,89,"Yes","exp04"
"",1,38,"Female",4,"english",1,90,"Yes","exp04"
"not comments",0,29,"Male",1,"English",0,91,"Yes","exp04"
"none",2,30,"Male",4,"English",1,92,"Yes","exp04"
"I really like it",1,34,"Male",2,"English",1,93,"Yes","exp04"
"",2,26,"Male",4,"english",0,94,"Yes","exp04"
"thank you for the study. I tried my best to see about the red and blue sentence. I think I did ok. But I worked hard on it and tried to decide if the speaker knows that the blue sentence is correct or not.",2,61,"Female",2,"English",1,95,"Yes","exp04"
"",1,22,"Male",2,"English",0,96,"Yes","exp04"
"Some of these were difficult to discern",1,31,"Male",1,"English",1,97,"Yes","exp04"
"The transcriptions were terrible. They were so bad that they were nearly incomprehensible, which made the exercise extra difficult.",0,49,"Female",3,"English",1,98,"Yes","exp04"
"",0,26,"Male",3,"english",0,99,"Yes","exp04"
"very nice ",2,28,"Female",4,"yes",0,100,"Yes","exp05"
"",1,54,"Male",0,"english",1,101,"Yes","exp05"
"",1,30,"Male",1,"English",1,102,"Yes","exp05"
"Though for the most part the answers seemed pretty clear cut, on occasion the answers were ambiguous, and I tried to reflect that in my responses.",0,40,"Male",1,"English",1,103,"Yes","exp05"
"",2,40,"",2,"english",1,104,"Yes","exp05"
"",2,32,"Female",3,"English",1,105,"Yes","exp05"
"",1,27,"Male",3,"English",1,106,"Yes","exp05"
"none",2,25,"Male",3,"English",1,107,"Yes","exp05"
"Good Work",2,25,"",3,"English",1,108,"Yes","exp05"
"is very good",2,30,"Female",3,"english",0,109,"Yes","exp05"
"good and nice",2,28,"Female",2,"English",1,110,"Yes","exp05"
"good",1,29,"Male",3,"English",0,111,"Yes","exp05"
"I found this difficult to understand exactly what you were looking for in terms of determining whether or not the person would know if the blue sentence was true. The overall purpose in the instructions was not that clear.",0,48,"Male",3,"english",1,112,"Confused","exp05"
"",1,29,"Female",2,"English",1,113,"Yes","exp05"
"None.",1,26,"Male",3,"English",1,114,"Yes","exp05"
"good to share my opinion",1,45,"Female",3,"English",1,115,"Yes","exp05"
"",1,39,"Male",3,"English",1,116,"Confused","exp05"
"",2,26,"Male",3,"English",1,117,"Yes","exp05"
"good",2,25,"Male",3,"english",1,118,"Yes","exp05"
"",1,27,"Female",0,"english",1,119,"Yes","exp05"
"",1,23,"Male",1,"English",1,120,"Yes","exp05"
"",1,27,"Female",3,"English",1,121,"Yes","exp05"
"Survey is good",2,29,"Male",3,"English",1,122,"Yes","exp05"
"I found this hit interesting. Language and epistemology/logic are endlessly fascinating topics.",1,31,"Male",2,"English",1,123,"Yes","exp05"
"",2,28,"Male",2,"English",1,124,"Yes","exp05"
"",1,21,"Female",2,"English",1,125,"Yes","exp06"
"excellent estudy",2,26,"Male",3,"english",1,126,"Yes","exp06"
"",1,30,"Female",3,"English",0,127,"Confused","exp06"
"",1,23,"Female",1,"English",1,128,"Yes","exp06"
"",1,28,"Male",3,"English",1,129,"Yes","exp06"
"",1,38,"Male",3,"English",1,130,"Yes","exp06"
"",2,47,"Female",2,"English",1,131,"Yes","exp06"
"",2,47,"Male",3,"English",1,132,"Yes","exp06"
"",0,41,"Female",3,"English",1,133,"Yes","exp06"
"very nice good and very much in the study",2,28,"Male",3,"English",0,134,"Yes","exp06"
"NICE TO WORK IN THIS SURVEY",1,36,"Male",3,"ENGLISH",1,135,"Yes","exp06"
"",2,45,"Male",3,"English",1,136,"Yes","exp06"
"",2,24,"Male",3,"English",1,137,"Yes","exp06"
"I felt I had a better handling of the task with the training sentences. To me, it seem like a big leap between the the training and the actual task.",1,37,"Male",3,"English ",1,138,"Yes","exp06"
"n/a",2,38,"Male",1,"english",1,139,"Yes","exp06"
"",1,34,"Female",2,"English",1,140,"Confused","exp06"
"thank you!",2,23,"Male",3,"English",1,141,"Yes","exp06"
"",2,28,"Male",3,"English",1,142,"Yes","exp06"
"Sometimes I felt confused so I would have to reread.",1,32,"Female",3,"English",1,143,"Yes","exp06"
"",1,37,"Male",1,"English",1,144,"Yes","exp06"
"",2,30,"Female",3,"English",1,145,"Yes","exp06"
"Very Engaging",2,29,"Male",3,"English",1,146,"Yes","exp06"
"",1,24,"Female",3,"English",1,147,"Yes","exp06"
"GOOD ONE",1,31,"Male",3,"ENGLISH",0,148,"Yes","exp06"
"",2,35,"Female",3,"United States",1,149,"Yes","exp06"
"",1,34,"Male",3,"english",1,150,"Yes","exp07"
"I thought it was a little weird.",0,22,"Female",2,"English",1,151,"Confused","exp07"
"none",1,43,"Male",4,"english",1,152,"Yes","exp07"
"This was challenging. Many of the conversation scenarios just seemed like nonsensical word salad. ",2,45,"Female",1,"English",1,153,"Yes","exp07"
"none",1,39,"Female",3,"English",1,154,"Yes","exp07"
"These sentences were more unclear than the examples, so I hope I did everything right.",1,37,"Female",3,"English",1,155,"Yes","exp07"
"none",1,36,"Female",3,"English",1,156,"Yes","exp07"
"",1,50,"Male",4,"English",0,157,"Yes","exp07"
"a little long and the sentences are difficult to read because of all the stutters of the speakers *um like um like i i*",1,40,"Male",3,"English",0,158,"Yes","exp07"
"",1,47,"Male",4,"English",1,159,"Yes","exp07"
"",1,24,"Male",3,"english",1,160,"Yes","exp07"
"",2,23,"Male",3,"English",1,161,"Yes","exp07"
"",1,33,"Female",3,"English",0,162,"","exp07"
"",1,23,"Male",2,"English",1,163,"Yes","exp07"
"",2,31,"Male",3,"English",1,164,"","exp07"
"",2,47,"Female",2,"English",1,165,"Yes","exp07"
"It was hard to assess how knowledgeable some of the speakers were when not speaking from direct experience.",2,45,"Male",2,"English",1,166,"Yes","exp07"
"",2,27,"Male",1,"English",1,167,"Yes","exp07"
"",2,31,"Female",4,"English",1,168,"Yes","exp07"
"",1,30,"Male",2,"English",1,169,"No","exp07"
"",2,34,"Female",2,"vietnamese",1,170,"Yes","exp07"
"",1,43,"Male",2,"english ",1,171,"Yes","exp07"
"Thank you!!",2,33,"Female",2,"English",1,172,"Yes","exp07"
"",1,28,"Male",2,"English",1,173,"Yes","exp07"
"",2,35,"Female",3,"United States",1,174,"Yes","exp07"
"",0,20,"Male",1,"English",0,175,"Yes","exp08"
"The conversations and blue sentences - some were very difficult to determine.",1,41,"Female",4,"English",1,176,"Yes","exp08"
"They grammar was awful, it was difficult to read.",0,44,"Female",3,"English",0,177,"Yes","exp08"
"VERY NICE",2,41,"Male",3,"ENGLISH",1,178,"Yes","exp08"
"",2,47,"Female",4,"United States",1,179,"Yes","exp08"
"nice",2,28,"Female",3,"english",0,180,"Yes","exp08"
"",1,32,"Female",4,"English",1,181,"Yes","exp08"
"Thanks!",2,36,"Male",3,"English",1,182,"Yes","exp08"
"Fun!",2,32,"Male",1,"English",1,183,"Yes","exp08"
"NICE",1,36,"Male",3,"ENGLISH",0,184,"Yes","exp08"
"",2,24,"Female",2,"english",1,185,"Yes","exp08"
"no",1,35,"Male",4,"english",0,186,"Confused","exp08"
"",2,27,"Male",3,"English",1,187,"Yes","exp08"
" All of this was some kind of subjective and in some of the red and blue parts true or false really didnâ€™t apply.",0,44,"Male",2,"English ",0,188,"Yes","exp08"
"",1,55,"Male",2,"english",1,189,"Yes","exp08"
"",1,34,"Male",3,"English",1,190,"Yes","exp08"
"Took a little too long and it was difficult to determine whether the speaker would know or not. ",0,25,"Female",2,"English",0,191,"Yes","exp08"
"",1,24,"Male",3,"ENGLISH",1,192,"Confused","exp08"
"",1,55,"Male",3,"English",1,193,"Yes","exp08"
"It was a bit strange in terms of trying to judge certainty of something that slightly contradicts the original statement.",1,34,"Male",1,"english",1,194,"Yes","exp08"
"",2,35,"Male",3,"English",1,195,"Yes","exp08"
"",1,24,"Male",3,"English",0,196,"Yes","exp08"
"all conversion is good",1,28,"Male",2,"english",1,197,"Yes","exp08"
"I don't know who the conversations were between, but they sounded like they were very uneducated.  This made it difficult to follow which is probably why this HIT was available in the first place.",1,35,"Male",4,"English",1,198,"Yes","exp08"
"no",2,47,"Female",2,"english",1,199,"","exp08"
"",2,27,"Female",4,"English",1,200,"Yes","exp09"
"this was very hard",1,28,"Female",3,"English",1,201,"Confused","exp09"
"a few were a little confusing. ",1,36,"Female",3,"english",1,202,"Yes","exp09"
"n",1,35,"Male",3,"English",0,203,"Yes","exp09"
"It's unusual that the training has a perceived true/false meter, but the subsequent work doesn't. ",1,29,"Male",3,"English",0,204,"Yes","exp09"
"",-1,38,"Male",2,"",1,205,"Yes","exp09"
"n",1,70,"Female",1,"English",1,206,"Yes","exp09"
"",1,39,"Male",3,"English",1,207,"Confused","exp09"
"Was expecting more or wider variation.  ",1,31,"Male",3,"English",0,208,"Yes","exp09"
"none",2,33,"Male",2,"english",1,209,"Yes","exp09"
"It was incredibly hard to follow the questions with them written the way they were. And I felt like the instructions were strange as well. Overall a very difficult hit",0,37,"Female",3,"English",1,210,"Confused","exp09"
"",1,49,"Female",3,"United States",1,211,"Yes","exp09"
"no comment",1,30,"Male",3,"english",1,212,"Yes","exp09"
"",1,60,"Male",2,"English",1,213,"Yes","exp09"
"",1,38,"Male",2,"english",1,214,"Yes","exp09"
"I think i answered it correctly based on the examples, but the actually questions seemed to differ from the example and made it confusing ",1,25,"Female",3,"English",0,215,"Confused","exp09"
"None at the moment",1,34,"Male",3,"English",1,216,"Yes","exp09"
"Good work",2,25,"Male",3,"English",1,217,"Yes","exp09"
"I found this HIT interesting.",2,57,"Female",2,"English",1,218,"Yes","exp09"
"",1,38,"Male",4,"English",1,219,"Yes","exp09"
"",1,29,"Male",3,"English",1,220,"Yes","exp09"
"",2,31,"Male",1,"English",1,221,"Yes","exp09"
"I hope I did it right, but am not positive I did. Hopefully it doesn't get rejected!",1,35,"Female",3,"englsh",1,222,"Confused","exp09"
"The hit could use better explanations... Why is the main task different from the examples .",1,25,"Male",3,"English ",1,223,"Confused","exp09"
"good",2,28,"Male",3,"english",1,224,"Yes","exp09"
"",1,26,"Male",3,"english",1,225,"Confused","exp10"
"No feedback.",1,26,"Female",1,"English",1,226,"Yes","exp10"
"",2,35,"Female",2,"English",1,227,"Yes","exp10"
"nice",2,23,"Female",3,"English",1,228,"Yes","exp10"
"yes interesting",2,37,"Female",1,"telugu",1,229,"Yes","exp10"
"",2,23,"Female",2,"English",1,230,"Yes","exp10"
"Survey is good",2,29,"Male",3,"English",1,231,"Yes","exp10"
"Survey is good",2,29,"Male",3,"English",1,232,"Yes","exp10"
"Great!",1,31,"Male",3,"english",1,233,"Yes","exp10"
"good",1,23,"Male",2,"english",0,234,"Confused","exp10"
"good",0,25,"Male",3,"english",0,235,"No","exp10"
"GOOD",1,30,"Female",2,"english",1,236,"Yes","exp10"
"",1,28,"Male",4,"English and Chinese",1,237,"Yes","exp10"
"",1,30,"Male",3,"ENG",1,238,"Yes","exp10"
"",1,26,"Female",2,"English",1,239,"Yes","exp10"
"Stupid task, get a better hit this one sucked and did not make any sense.  What information could you really gain from this nonsense.",0,29,"Male",3,"English",0,240,"Confused","exp10"
"thanks",1,26,"Male",2,"English",1,241,"Yes","exp10"
"",1,40,"Female",3,"English",1,242,"Yes","exp10"
"None",1,29,"Male",3,"English",1,243,"Yes","exp10"
"Not all of the sentences were complete. The examples were easier to understand what the HIT wanted us to answer. ",0,22,"Female",3,"English",1,244,"Confused","exp10"
"",1,34,"Female",3,"",1,245,"Confused","exp10"
"(1) The transcription was pretty bad. (2) Some of these sentences sounded pretty strange in their original form, before the ""all"" editing -- the editing isn't what made them sound strange. ",1,60,"Female",3,"English",0,246,"Yes","exp10"
"very interesting survey.",2,27,"Male",3,"English",1,247,"Yes","exp10"
"Good luck with your research.",2,39,"Female",4,"English",1,248,"Confused","exp10"
"",2,35,"Female",3,"United States",1,249,"","exp10"
"",1,29,"Female",3,"english",1,250,"Yes","exp11"
"",2,37,"Male",3,"English",1,251,"Yes","exp11"
"Very interesting Experiment! ",2,27,"Female",3,"English",1,252,"Yes","exp11"
"at least it will improve my english a bit ",2,33,"Male",3,"english",0,253,"Yes","exp11"
"",1,28,"Male",3,"English",1,254,"Yes","exp11"
"It was hard to understand the directions, and seemed that sometimes the statements just changed a word 'some' to 'all' which made the questions really hard to answer",1,27,"Female",1,"English",1,255,"Confused","exp11"
"Even with the five practice 'problems' I felt that my choices throughout the HIT were overly repeated and made me unsure of my work. I did my best so hopefully that helps you guys out. Thanks and good luck!",1,24,"Male",3,"English",1,256,"Yes","exp11"
"This was definitely and interesting and different HIT than normal for me.",1,31,"Male",3,"English ",1,257,"Yes","exp11"
"Good work",2,25,"Male",3,"English",1,258,"Yes","exp11"
